Unnamed: 0,title,text,latitude,longitude,city_text,date_posted,date_updated,price,deleted,sqft,bedrooms,bathrooms,pets,laundry,parking,craigslist,place,city,state,county,neighborhood
12124,$3750 / 2br - 850ft2 - Adorable two bedroom / one bathroom apartment ~ Conveniently located ~ ,"QR Code Link to This Post
            
        
1726 Page Street #1 San Francisco, CA 94115
Rent: $3,750 | Deposit: $800
Bedrooms: 2  |  Bathrooms: 1
Sqft: 850
Available: 10/20/2018
Type: Apartment
Phone:  show contact info

Email:  show contact info

At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
Appliances Included:
 • Refrigerator    • Gas Stove
Features:
 • Bright and Airy Floor Plans
 •Custom Paint Colors
 • Beautifully Tiled Counters and Floors
 • Plush Carpet
 • Community Patio Area
 • Easy On-Site Laundry
For more information, pictures and directions check out our website: http://ismrem.com/Apartment-Details.aspx?id=915
IS1015",37.770675,-122.449203,rohnert pk / cotati,2018-10-15 13:59:17,,3750.0,False,850.0,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco,rohnert pk / cotati
12397,$3750 / 2br - Bright 2 bedroom unit ~ Newly renovated ~ A MUST SEE ! ,"QR Code Link to This Post
            
        
Type: Apartment
2 Bedrooms, 1 Bathroom.
Apartment for rent. $3,750 per month, $800 deposit, Available: 10/20/2018.
At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
Appliances: Refrigerator, Gas Stove
1726 Page Street #1 San Francisco, CA 94115
Call:  show contact info
 or visit: http://ismrem.com/Apartment-Details.aspx?id=915
Email:  show contact info

IS1009",37.770675,-122.449203,rohnert pk / cotati,2018-10-09 13:49:06,,3750.0,False,,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco,rohnert pk / cotati
12473,"$3750 / 2br - 850ft2 - Completely remodeled 2 bed, 1 bath unit ~ A must see ! ","QR Code Link to This Post
            
        
Apartment for rent
1726 Page Street #1 San Francisco, CA 94115
Page Street Apartments
Type: Apartment
2 Bedrooms, 1 Bathroom.
$3,750 per month | $800 deposit
Available: 10/20/2018.
Sqft: 850 Sq. Ft. approx.
Contact:  show contact info

Email:  show contact info

At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
Appliances: Refrigerator, Gas Stove
Features: Bright and Airy Floor Plans,Custom Paint Colors, Beautifully Tiled Counters and Floors, Plush Carpet, Community Patio Area, Easy On-Site Laundry
FOR INFORMATION VISIT:
http://ismrem.com/Apartment-Details.aspx?id=915
IS1011",37.770675,-122.449203,rohnert pk / cotati,2018-10-11 18:36:56,,3750.0,False,850.0,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco,rohnert pk / cotati
12810,$3750 / 2br - 850ft2 - Incredible 2 bedroom - 1 bathroom apartment * Beautifully renovated * ,"QR Code Link to This Post
            
        

1726 Page Street #1 San Francisco, CA 94115
Rent: $3,750 | Deposit: $800
Bedrooms: 2  |  Bathrooms: 1
Sqft: 850
Available: 10/20/2018
Type: Apartment
Phone:  show contact info

Email:  show contact info

At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
Appliances Included:
 • Refrigerator    • Gas Stove
Features:
 • Bright and Airy Floor Plans
 •Custom Paint Colors
 • Beautifully Tiled Counters and Floors
 • Plush Carpet
 • Community Patio Area
 • Easy On-Site Laundry
For more information, pictures and directions check out our website: http://ismrem.com/Apartment-Details.aspx?id=915
IS1008",37.770675,-122.449203,rohnert pk / cotati,2018-10-08 10:11:32,,3750.0,False,850.0,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco,rohnert pk / cotati
13022,$3750 / 2br - 850ft2 - A MUST SEE! Awesome unit Available for lease! View details* ,"QR Code Link to This Post
            
        
1726 Page Street #1 San Francisco, CA 94115
Type: Apartment
At 1726 Page Street you will find bright and spacious newly renovated two and three bedroom apartment homes in the Upper Haight area. This classic San Francisco property also features a lovely patio and garden area for tenants to enjoy. We are conveniently located within walking distance to Golden Gate Park and five minutes from University of California Medical Center. Beautifully renovated, bright two bedroom apartment with elegant tile work and plush carpet in an excellent location.
$3,750 per month  |  $800 deposit
Features:
Page Street Apartments
Sqft: 850 Sq. Ft. approx.
2 Bedrooms
1 Bathroom.
Bright and Airy Floor Plans
Custom Paint Colors
Beautifully Tiled Counters and Floors
Plush Carpet
Community Patio Area
Easy On-Site Laundry
Appliances:
Refrigerator
Gas Stove
VIEW MORE DETAILS:
http://ismrem.com/Apartment-Details.aspx?id=915
Available: 10/20/2018.
Contact:  show contact info

Email:  show contact info

IS1012",37.770675,-122.449203,rohnert pk / cotati,2018-10-12 15:17:32,,3750.0,False,850.0,2.0,1.0,none,shared,none,sfbay_nby,San Francisco,San Francisco,CA,San Francisco,rohnert pk / cotati
18963,$2640 / 1br - 900ft2 - 配备齐全的床单和毛巾 ,"QR Code Link to This Post
            
        
1BR, 1BA luxury condominium rental at landmark three tower high rise ""Gramercy Towers"" situated atop internationally famous Nob Hill neighborhood. Unit Amenities Include: Assigned Parking, Central Heat, Dishwasher, On Site Laundry. Building Amenities Include: Door Person, Dry Cleaning Service, Elevator, Fitness Center w/ South View, Garage Parking, On Site Laundry, Onsite Management, Package Service, Residents Lounge, Secured Entry, Heated Swimming Pool Under Revolving Glass Sky Dome, Hot Tub w/ East View, Men & Women's Sauna, Access to Osso Steakhouse 1177 California St, San Francisco, CA 94108",37.7929,-122.4079,nob hill,2018-10-12 10:08:35,2018-10-14 10:53:00,2640.0,False,900.0,1.0,1.0,cats,in-unit,garage,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,nob hill
18967,$3295 / 2br - 1/2 Block GG Park!! LG 2BD/1BA with Shared Yard| WD| Parking Available ,"QR Code Link to This Post
            
        
747 19th Ave. #1, San Francisco CA 94121 
** NEW CARPETS ARE BEING INSTALLED 
Contact Samantha for a tourshow contact info

BRE: 01977966
RentSFNow 
DETAILS: 
- 2BD/1BA
- Rent: $3,295
- 1 Tandem Parking Space Available: $250
- Washer and Dryer In Garage 
- Shared Backyard 
- All Utilities Paid By Tenants 
ABOUT THE SPACE: 
Located in the heart of one of San Francisco's trendiest neighborhoods - Central Richmond District. This large well-lit, two-bedroom/one bath will meet all your needs (and more!)
- Very Spacious Living Room Area 
- Open Layout
- New Carpets
- Large Kitchen with lots of counter space, ample amount of cabinet space, and kitchen island 
- Kitchen Appliances Include Dishwasher, Gas Stove, Large Fridge 
- Spacious- Separate Room for Dining Table 
- 2 Large Bedrooms with Mirrored Closets and Large Windows 
- Bathroom Includes Large Vanity with Storage, Shower/Tub Combo 
LOCATION: 
- 1/2 Block: Golden Gate Park 
- 15 Minute Walk to Corporate Shuttle Stops (Google, Facebook, Apple)
*Park Presidio and Geary is the Pick up/Drop Off
NEIGHBORHOOD: 
Central Richmond District is a beautiful neighborhood bordering Golden Gate Park, including both residential housing and commercial attractions. Homes in the neighborhood are in close proximity to good food, beautiful parks, and many forms of entertainment. Central Richmond residents have a wide variety of restaurants from which to choose, including Asian food from nearly every region, popular taquerias, cafes, French and Italian cuisine, and more. Clement Street offers diners options to suit any preference. Muni bus lines that serve the neighborhood include the 38 Geary, the 31 Balboa, and the 5 Fulton. The neighborhood is full of colorful homes, many of which are less than a mile from the Pacific Ocean at Ocean Beach. Residents enjoy easy access to both Golden Gate and Presidio parks. Convenient to San Francisco State University, University of San Francisco, and University of California - San Francisco, this district is close to entertainment and fun, but retains its peaceful and mellow feel for families.",37.773854,-122.47783799999999,richmond / seacliff,2018-10-08 08:23:38,2018-10-15 11:43:57,3295.0,False,,2.0,1.0,none,shared,garage,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,richmond / seacliff
18968,"$3300 / 1br - 1-2 BR Apartment, HW Fl, Walk to Fort Mason, Marina Green, Safeway ","QR Code Link to This Post
            
        
Don't miss this prime Marina apt in a 12 unit apartment building on Laguna St between Chestnut and Bay St. Right across the famous Moscone Playground. Walk distance to Fort Mason,  Marina Green,  and Safeway. 
Features include:
1) 1 Bedroom with walk-in closet, living room with walk-in closet which can be used as 2nd bedroom.
2) Hardwood floors, kitchen has room for eating area. 
3) New double pane windows.
4) Building has coined laundry for tenant convenience.
Adress: 3336 Laguna St #104, San Francisco, CA 94123
One year lease required. Available immediately. Water, steam heat, and garbage services included in rent. Tenant pays PG&E. Credit and income qualification. No pets and non-smokers please. Please call/text Ming Zhang (BRE01217640) at  show contact info
 for viewing appointment.",37.801884,-122.43133999999999,marina / cow hollow,2018-10-03 09:02:30,2018-10-14 08:45:11,3300.0,False,,1.0,1.0,none,shared,none,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,marina / cow hollow
18969,$2295 1/2 Mo.FREE! Renovated studio with Views from Rooftop Terrace! ,"QR Code Link to This Post
            
        
825 Post St. is in the heart of the City! This trendy neighborhood boasts a Walk Score of 99, Transit Score of 100 and Bike Score of 81. You can easily walk to all of Downtown and Financial District. Close to all public transportation- MUNI stops and the Powell Street BART Station also within walking distance. Many tech shuttle stops are near the property, and many monthly parking garages if needed. Hip cafes, charming restaurants and nightlife all in walking distance. Grocery shopping nearby too, Trader Joe's and Whole Foods!
The building includes a Rooftop with an Amazing view of the city, a Courtyard, a Dog Run, Nice Lounge Seating Area.
Unit Features:
-Fully renovated kitchen with stainless steel appliances
-Hardwood flooring
-Dishwasher
-On Site Laundry
-Rooftop access 
-Pets OK!
-Dog Run
Lease Terms:
-Lease: 1 Year
-Income: 2x Rent 
-Credit Score: 600
-Utilities: Not Included 
-Deposit: 1x Rent, 2x w/Guarantor 
-Pets: $75 Dog, $50 Cat; $500 Deposit (must be under 40 pounds and no aggressive breeds) 
-Proof of Income: Offer Letter, Pay Stubs
*Ask about our Security Deposit Alternative 
- DEPOSIT IQ - Instead of Security Deposit, do a 1x Bond: 25-55% of Rent; Non-Refundable
*APPLICATION LINK: ($35) https://www.on-site.com/apply/company/39428
Available Now!
Call or TEXT for details and showings!
Kara Kokorelis | Leasing Agentshow contact info

www.mosserco.com
*We do business in accordance with the Federal Fair Housing Law*CaBRE #01341448",37.787403000000005,-122.415398,lower nob hill,2018-10-10 14:13:54,,2295.0,False,,0.0,1.0,both,shared,garage,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,lower nob hill
18970,"$1995 1/2 Month Free - BEAUTIFUL STUDO - Walk to FiDi, BART, MUNI, Shopping, Restauran ","QR Code Link to This Post
            
        
THE LOCATION
=================================================================
48-50 Golden Gate is a gorgeous building where classic architecture mixes with sleek modern updates. The pet-friendly units feature well-appointed kitchen & baths including granite counters, sleek counters and stainless steel appliances including microwaves and dishwashers. Each studio & 1 Bedroom apartment contains hardwood floors, spacious closets and unique vintage details like bay windows and clawfoot bathtubs. The building has an elevator and onsite laundry. The bustling neighborhood borders Civic Center, and is steps away from the city's best arts & culture landmarks.
THE APARTMENT
=================================================================
-Remodel Kitchen w/Stainless Steel Appliances, Granite Countertops
-Remodel Bathroom 
-Harwood Floor
-Natural Light
-Laundry in Building
-Pet Friendly
-Walk to Financial District, Union Square, MUNI, SOMA
THE CONTACT
=================================================================
Elena Hamner | Leasing Agent
Mosser Companies 
www.mosserco.com
Showings By Appointment Only
Ask me about our other studios, 1 and 2 bedrooms around the city
LEASE TERMS 
=================================================================
-Lease: 1 Year 
-Income: 2x Rent 
-Deposit: 1x Rent 
-Utilities: None Included 
-Pets: $500 Pet Deposit, $75/m Dog, $50/m Cat
-Proof of Income: Pay Stubs, Offer Letter, 
=================================================================
*Ask about our Security Deposit Alternative 
-Instead of doing a Security Deposit pay a Non-Refundable Deposit IQ Bond
-Pay 27%-55% of Rent
-Deposit IQ Bond is Non-Refundable!!
=================================================================
**APPLICATION LINK ($35): https://www.on-site.com/apply/company/39428
*We do business in accordance with the Federal Fair Housing Law*
CaBRE #01341448",37.782299,-122.411299,tenderloin,2018-09-11 15:46:15,2018-10-11 08:54:31,1995.0,False,,0.0,1.0,both,shared,none,sfbay_sfc,San Francisco,San Francisco,CA,San Francisco,tenderloin
